Date,Open,High,Low,Close,Adj Close,Volume
2022-07-03,1.9974082178699822e-7,1.9974082178699822e-7,1.9974082178699822e-7,1.9974082178699822e-7,1.9974082178699822e-7,17.928854319732707
2022-07-04,2.2605320507640562e-7,2.821937106288375e-7,2.2605320507640562e-7,2.592028595933081e-7,2.592028595933081e-7,661.0641867339249
2022-07-06,2.584668573935832e-7,2.584668573935832e-7,2.374140253244577e-7,2.5320128189113383e-7,2.5320128189113383e-7,474.82880724329493
2022-07-07,2.6906887139470597e-7,2.6906887139470597e-7,2.481970479051555e-7,2.481970479051555e-7,2.481970479051555e-7,201.08897321436655
2022-07-08,2.5314082411622825e-7,2.5314082411622825e-7,2.5314082411622825e-7,2.5314082411622825e-7,2.5314082411622825e-7,12.657041205811414
2022-07-09,2.529890414287722e-7,2.7263951165264525e-7,2.529890414287722e-7,2.7263951165264525e-7,2.7263951165264525e-7,153.9506645778617
2022-07-10,2.7585029849000374e-7,2.7585029849000374e-7,2.6616782688481814e-7,2.6616782688481814e-7,2.6616782688481814e-7,24.69722413873836
2022-07-13,1.9617439400400453e-7,2.161986141922589e-7,1.935765964867508e-7,2.161986141922589e-7,2.161986141922589e-7,1054.0572539621924
2022-07-15,2.669629394392759e-7,2.669629394392759e-7,2.669629394392759e-7,2.669629394392759e-7,2.669629394392759e-7,68.11528150531477
2022-07-17,2.923070036518057e-7,2.923070036518057e-7,2.923070036518057e-7,2.923070036518057e-7,2.923070036518057e-7,5.551118078387808
